publisher	country
Pakistan Medical Association	Pakistan
Medical Association of Thailand	Thailand
勞動出版社	China
Q106103304	United States of America
F. & O. Brockmann's Nachfolger	Germany
R. Guilleminot, Boespflug et Cie	France
Stab. A. Marzi	Italy
G. Ficker	France
Pennsylvania State University Libraries Open Publishing	United States of America
Q106147617	Canada
Q106162444	Poland
My.Games	Cyprus
Gollegiella	Norway
Princeton Legacy Library	United States of America
Q106254829	Belgium
Nihon Sekijūji Hakkōjo	Japan
Q106269348	Canada
Comic Brise	Japan
Astro Artz	United States of America
Comic Ride	Japan
Barr-Heol	France
Templeton Press	United States of America
Q106322393	Denmark
indienova	China
E. W. Savory, Ltd.	United Kingdom
Comic PASH!	Japan
Pavai Publications	India
Q106363275	United States of America
CelerSMS	Colombia
Hayward Kidd	United Kingdom
J. Philip Kruseman Uitgeversmaatschappij	Netherlands
Q106418912	France
Summitsoft Entertainment	United States of America
PM Studios	United States of America
Your EDM	United States of America
The Partae	Australia
The Playground	United Kingdom
Victura	Guernsey
Sacristy Press	United Kingdom
Amanotes	Singapore
Q106441415	Canada
Q106442208	Canada
Asia Publishers	Israel
Roaring Brook Press	United States of America
Anarch Entertainment	United States of America
Tinta da China	Portugal
Q105620683	Israel
Awe Interactive	United Kingdom
Q105636184	France
Boss Team Games	United States of America
ACTS Press	United States of America
Mason Crest	United States of America
The Adventure Workshop	United Kingdom
Q105681941	Italy
Black and Green Games	United States of America
Buried Without Ceremony	Canada
CRN Games	United States of America
The Aryya Mission Institution	India
Bengal Publishers	India
Kamala Book Depot	India
Oriental Agency	India
Half Meme Press	United States of America
TAO Games	United States of America
Q105723628	Austria
Q105724848	France
UGnovels	Japan
Morning Star Books	Japan
SQEX Novel	Japan
GA Novel	Japan
Q105733406	France
Éditions Quinze	Canada
Q105745653	Canada
Massive Rockerz Entertainment Studios	India
Fininformservice NIKA	Russia
Q105760874	Netherlands
Inter-Art Co.	United Kingdom
Photo F. MAT	Belgium
The Ginger Press	Canada
Pikola	Czech Republic
Steamforged Games	United Kingdom
Lee Boudreaux Books	United States of America
Fleming H. Revell Company	United States of America
Q105884610	Russia
Q105923731	Sweden
Herald Press	United States of America
Au Pont 9	France
Bibliopolis	France
Rue des Écoles	France
Q105947484	Canada
Uitgeverij van Oorschot	Netherlands
MF Books	Japan
GC Novels	Japan
Overlap Novels	Japan
Anirog Software	United Kingdom
Q106464148	France
Jaleco USA	United States of America
Why so serious	Japan
Q106474434	Netherlands
Midway Home Entertainment	United States of America
Howard Schubert Co. Inc.	United States of America
Go-Card	Denmark
Q106497080	Sweden
Hyperion Books	United States of America
Q106498006	Spain
Kunst-Anstalt H.A.J. Schultz & Co.	Germany
South Asian Microform Project	United States of America
Javnost.si	Slovenia
Q106546404	Spain
E. Monzein, imp.	France
Ed. Stevens	Belgium
Dar al-Kutub an-Nasiriyya	Morocco
Undertow Publications	Canada
H. Sollott	United States of America
Verlag J. Windhager	Germany
PT Alam Lestari Unggul	Indonesia
Q106610316	Democratic Republic of the Congo
Q106610327	Gabon
Q106610331	Togo
Q106610338	Cote d'Ivoire
Q106612216	Denmark
Q106619319	Spain
Premier Printing Ltd.	Canada
Art and Humour Publishing Co.	United Kingdom
Q106634970	Iceland
World Book	United States of America
Indian Ink Publishing	Canada
Eminent, sdružení podnikatelů	Czech Republic
Boekenbent	Netherlands
Q106662263	France
Q106667045	Canada
Legend Novels	Japan
Carlo Delfino editore	Italy
Te Ao Māori News	New Zealand
Gum Comics	Japan
Wydawnictwo von Borowiecky	Poland
Galart	Russia
Q106695427	Japan
Ach je Verlag	Germany
Szpak	Poland
Furio Viano Editore	Italy
m5studio	Russia
Peppercorn Press	New Zealand
Wydawnictwo Ezop	Poland
Exisle Publishing	New Zealand
J. Plichta	Czech Republic
Q106767060	Sweden
Alende Edições	Angola
Q106787064	France
gebr Koster	Netherlands
Mastrigt Verhoeven Arnhem.	Netherlands
Melbourne University Press	Australia
Q106813293	Malaysia
Wildwood House	United Kingdom
Lillenas Publishing Company	United States of America
Q106847255	Canada
Q106864042	France
Q106872333	Sweden
VerlagsKG Wolf	Germany
The Conrad Press	United Kingdom
Q106919386	Japan
Studia humanitatis	Slovenia
Q106991639	France
Q107000541	Sweden
Kaepernick Publishing	United States of America
Open Letter Books	United States of America
Reed Books	New Zealand
Dragon Comics	Japan
Aila Edicions	Spain
Ynnis Éditions	France
Witham Press	New Zealand
Unties	Japan
Babel Center	Lebanon
Biohazard Games	United States of America
Q107122749	Ukraine
Winter Wolves	Italy
Hungarian Propaganda and Tourism Agency	Hungary
Artefactum	Czech Republic
Super X Studios	United States of America
Burning Eye Books	Canada
MCD⨯FSG	United States of America
egoboobits	Croatia
Q107222207	Israel
Q107222208	Israel
Q107224122	Germany
Q107224123	Germany
Q107224120	Germany
Salty Salty Studios	Iceland
Government Printing Works	South Africa
Q107266606	Italy
Q107271884	Belgium
Lokgeet Parkashan	India
Glenisson & Zonen	Netherlands
Kolff-Buning	Indonesia
PsychoFlux Entertainment	South Korea
G. H. Merlin Company	United States of America
Crytivo Games	United States of America
Q107300187	United Kingdom
Q107302686	France
Q107316605	Germany
Riad EL Rayyes Books Ltd	United Kingdom
Q107325261	Sweden
ẖzīnẗ ʿlm ūʾadb	Pakistan
Maktaba Quddusia	Pakistan
Redhill Games	Finland
mṭbʿẗ al-nǧāḥ al-ǧdīdẗ	Morocco
Academy Of The Kingdom Of Morocco	Morocco
AGL Studios	United States of America
Kristanix Games	Norway
Campus UNED Guinea Ecuatorial	Equatorial Guinea
Langham Monographs	United States of America
Blackrose Industries	United States of America
Q107366951	Sweden
Ashton-under-Lyne Linnean Botanical Society	United Kingdom
Hartmann Books	Germany
Q107405835	Sweden
Q107414354	Sweden
Q107420060	Germany
Freedom Games	Guernsey
Wellington Theatre Archive	New Zealand
Q107452450	Sweden
European Military Press Association	Italy
Namffoh Corporation	United States of America
Q107474857	Lebanon
Fink Media Verlag	Germany
Slow Trains	United States of America
MSXdev	Spain
Human Parts	United States of America
Q107494247	Germany
dār al-fkr al-ʿrbī	Egypt
dār al-tʿlīm al-ǧāmʿī	Egypt
Q107506855	Czech Republic
Libra Open	United States of America
Black Sun Lit	United States of America
House of Vlad Press	United States of America
Elliot Stock	United Kingdom
dār al-ktb al-šrqīẗ	Tunisia
Q107550194	Lebanon
William Collins	United Kingdom
Matra Computer Automations	Spain
Chartier Freres de Montargis	France
dār al-nhār	Lebanon
muʾssẗ šbāb al-ǧāmʿẗ	Egypt
mṭbʿẗ dīwān ʿmūm al-ʾaūqāf	Egypt
National Center For Translation	Egypt
dār al-īqẓẗ al-ʿrbīẗ	Syria
dār ʿlāʾ al-dīn	Syria
dār dmšq llṭbāʿẗ wālnšr wāltūzīʿ	Syria
dār al-mkšūf	Lebanon
Francisco Sempere y Compañía	Spain
al-mktb al-mṣrī ltūzīʿ al-mṭbūʿāt	Egypt
mṭbūʿāt dār al-šʿb	Egypt
dār kīwān	Syria
dār al-ʾāfāq al-ʿrbīẗ	Egypt
Romeon Verlag	Germany
Q107587440	Sweden
Maize Books	United States of America
Q107613629	Belgium
Q107620211	Sweden
Norstedts Förlagsgrupp	Sweden
LIPI Press	Indonesia
IMR Press	United States of America
Baar-Verlag	Germany
Futurefire.net Publishing	United Kingdom
apud C. A. Schwetschke et filium	Germany
Beijing Institute of Technology Press	China
Verlag der Lustigen Blätter	Germany
Park Row Books	Canada
Q107726575	Indonesia
Biotope Editions	France
al-ʿrbī llnšr wāltūzīʿ	Egypt
Belgrade Publishing House of the Faculty of Philology in Belgrade	Serbia
Kaiseisha Wonderland	Japan
Kaiseisha Poche	Japan
Scholastic Paperbacks	United States of America
muʾssẗ ṣāʾib slām llṯqāfẗ wāltʿlīm al-ʿālī	Lebanon
mktbẗ al-frǧānī	Libya
dār al-tḍāmn	Lebanon
mktb ʿmr abū al-nṣr	Lebanon
Library of Congress Publishing Office	United States of America
Ablinger & Garber GmbH	Austria
abo-Verlag	Austria
al-muʾssẗ al-ūṭnīẗ llātṣāl wālnšr wālāšhār	Algeria
Berenkamp Verlag	Austria
WVT - Wissenschaftlicher Verlag Trier	Germany
Würzburg University Press	Germany
WTM-Verlag	Germany
mktbẗ al-mṯni	Iraq
dār lḥd ẖāṭr	Lebanon
mktbẗ ṣādr	Lebanon
Lolli Editions	Germany
Android Authority	United States of America
Space Cow	France
al-dār al-ǧāmʿīẗ llṭbāʿẗ wālnšr	Lebanon
Q107981632	Indonesia
Altilunium	Indonesia
Lemaitre Publishing	Belgium
Q108016277	Belgium
Q108063590	Austria
2tainment	Germany
Vuelie	Norway
Trillium Graphics	United States of America
Parasol Press	United States of America
Q108118307	Sweden
Q108119964	United Kingdom
Gruenwald Press	United States of America
Tinhorn Press	United States of America
Q108123368	Sweden
Cormorant Design	United Kingdom
Slant	United States of America
Costallat	France
Scribner, Armstrong, and Company	United States of America
Global Journals	United States of America
Academic Journals	Nigeria
Joseph W. Stern & Co.	United States of America
Sayahna Foundation	India
mrkz al-drāsāt wālmʿlūmāt al-qānūnīẗ lḥqūq al-insān	Egypt
al-mṭbʿẗ al-ūṭnīẗ	Lebanon
Dar Al-Rawda for Publishing and Distribution	Egypt
Shooting Star Press	United States of America
Q108254819	Japan
Alphabet Wörterbuchverlag GmbH	Austria
Alpina Druck GmbH	Austria
Biblical Theological Institute	Russia
Altralinea Edizioni	Italy
Bioscope Group	Portugal
Bischöfliches Gurker Ordinariat	Austria
WIT Press	United Kingdom
Anteferma Edizioni	Italy
Blanquerna Observatory on Media, Religion and Culture	Spain
Druck- und Verlagshaus Mainz GmbH	Germany
Bucerius Law School Press	Germany
Buchbinderei Konzett	Austria
Bucher Verlag	Austria
AMA Service GmbH	Germany
Wienand Verlag GmbH	Germany
Campisano Editore	Italy
Advanced Building Skins GmbH	Switzerland
dbv-Verlag	Austria
Wellem Verlag GbR	Germany
Centre for Research, Environmental Sustainability and Advancement of Mountain Viticulture (CERVIM)	Italy
APLF: Association des Palynologues de Langue Française	France
DeepSec GmbH	Austria
Weimarer Verlagsgesellschaft	Germany
Arbeitsgemeinschaft für Heimatkunde e.V.	Germany
WEIDLER Buchverlag Berlin	Germany
wbv Media GmbH & Co. KG	Germany
Cisalpino, Istituto Editoriale Universitario	Italy
CISGE - Centro Italiano per gli Studi Storico-Geografici	Italy
Arcadis geotechnika	Czech Republic
Clio-Verlag	Austria
ArchiTangle GmbH	Germany
College Publications	United Kingdom
Computus Druck Satz & Verlag	Germany
V&R Unipress GmbH	Germany
ARPHA Proceedings	Bulgaria
Artbook Verlag	Austria
ARTION Conference & Events	Greece
Curran Associates, Inc.	United States of America
Direktion für Sicherheitspolitik im BMLV	Austria
Czech Tunnelling Association ITA-AITES	Czech Republic
Association for Consumer Research	United States of America
Association for NeuroPsychoEconomics	Germany
Auer & Partner Consulting KG	Austria
EB-Verlag Dr. Brandt	Germany
E-BWN	Poland
Athesia Tappeiner Verlag	Italy
Vienna University Press (V&R unipress)	Austria
Austrian Climate Research Programme (ACRP)	Austria
Austrian Society of Plant Biology	Austria
Ediciones de la Universitat de Lleida	Spain
Edition Art & Science	Austria
Vice Versa Distribution GmbH	Germany
Editiones scholasticae	Germany
Edition Galerie Thomas Flora	Austria
AVM Edition	Germany
Axel and Margaret Ax:son Johnson Foundation	Sweden
Edition Hubatschek	Austria
Edition Lammerhuber	Austria
edition laurin	Austria
Edition Praesens	Austria
Éditions des Cendres	France
Éditions Livreo-Alphil	France
Editrice LAS - Pubblicazioni dell'Università Pontificia Salesiana	Italy
Editora IABS	Brazil
Editora Insular	Brazil
Editora Olhares	Brazil
Editura Universitaria Craiova	Romania
Editura Universitatii	Romania
Edizioni Alphabeta Verlag	Italy
Edizioni Sette Città	Italy
Verlag E. DORNER GmbH - westermann Gruppe	Austria
Folio Verlaggesellschaft m. b. H.	Austria
EFDS - Europäische Forschungsgesellschaft Dünne Schichten e.V.	Germany
Verlag Werner Hülsbusch	Germany
Verlagshaus Hernals	Austria
Wagner Verlag	Austria
Verlag Medien und Recht Verlags GmbH	Austria
Verlag für Polizeiwissenschaft	Germany
Verlag des Römisch-Germanischen Zentralmuseums	Germany
El Croquis Editorial	Spain
Eleven International Publishing	Netherlands
EliPhi. Éditions de linguistique et de philologie	France
Umweltdachverband GmbH, Bereich Forum Umweltbildung	Austria
Environmental and Water Resources Institute at American Society of Civil Engineers	United States of America
epubli	Germany
ÉPURE. Editions et presses universitaires de Reims	France
Freya Verlag	Austria
Friedrich A. v. Hayek Institut	Austria
ESA Communications	Netherlands
Genova University Press	Italy
utb Haupt Verlag	Switzerland
UTB Böhlau	Germany
Geoforum Tirol	Austria
Urban Future Edition	Austria
European Association for Earthquake Engineering (EAEE)	Turkey
European Association of Health Law	United Kingdom
European Community on Computational Methods in Applied Sciences (ECCOMAS)	Spain
Georg éditeur	Switzerland
Aditya Prakashan	India
Europrint Medien GmbH	Germany
University of Maribor Press	Slovenia
Eusl-Verlagsgesellschaft mbH	Germany
University College Dublin Press - UCD Press	Ireland
Eye Verlag	Austria
Uni-Press Graz Verlag GmbH	Austria
UniorPress	Italy
Gesellschaft für Arbeitswissenschaft	Germany
i6doc	Belgium
Gfa-Press	Germany
IBO-Verlag	Austria
Gieseking	Germany
Giorgio Bretschneider Editore	Italy
Icelandic Geotechnical Society	Iceland
TWENTYSIX	Germany
IPC - Istanbul Policy Center	Turkey
Global Research Institute for Business Academics	Australia
ICSEI	United Kingdom
